kmr,kr,fitness
1.000000,1.000000,-574.100000
1.000000,2.000000,-573.200000
1.000000,3.000000,-572.300000
1.000000,4.000000,-571.400000
1.000000,5.000000,-570.500000
1.000000,6.000000,-569.600000
1.000000,7.000000,-568.700000
1.000000,8.000000,-567.810000
1.000000,9.000000,-566.910000
1.000000,10.000000,-566.020000
1.000000,11.000000,-565.140000
1.000000,12.000000,-564.260000
1.000000,13.000000,-563.400000
1.000000,14.000000,-562.540000
1.000000,15.000000,-561.700000
1.000000,16.000000,-560.870000
1.000000,17.000000,-560.050000
1.000000,18.000000,-559.250000
1.000000,19.000000,-558.470000
1.000000,20.000000,-557.710000
1.000000,21.000000,-556.960000
1.000000,22.000000,-556.240000
1.000000,23.000000,-555.530000
1.000000,24.000000,-554.850000
1.000000,25.000000,-554.180000
1.000000,26.000000,-553.530000
1.000000,27.000000,-552.910000
1.000000,28.000000,-552.300000
1.000000,29.000000,-551.710000
1.000000,30.000000,-551.140000
1.000000,31.000000,-550.590000
1.000000,32.000000,-550.060000
1.000000,33.000000,-549.540000
1.000000,34.000000,-549.040000
1.000000,35.000000,-548.560000
1.000000,36.000000,-548.090000
1.000000,37.000000,-547.640000
1.000000,38.000000,-547.210000
1.000000,39.000000,-546.790000
1.000000,40.000000,-546.380000
1.000000,41.000000,-545.980000
1.000000,42.000000,-545.600000
1.000000,43.000000,-545.230000
1.000000,44.000000,-544.880000
1.000000,45.000000,-544.530000
1.000000,46.000000,-544.190000
1.000000,47.000000,-543.870000
1.000000,48.000000,-543.550000
1.000000,49.000000,-543.240000
1.000000,50.000000,-542.950000
1.000000,51.000000,-542.660000
1.000000,52.000000,-542.370000
1.000000,53.000000,-542.100000
1.000000,54.000000,-541.830000
1.000000,55.000000,-541.570000
1.000000,56.000000,-541.320000
1.000000,57.000000,-541.070000
1.000000,58.000000,-540.830000
1.000000,59.000000,-540.590000
1.000000,60.000000,-540.360000
1.000000,61.000000,-540.130000
1.000000,62.000000,-539.910000
1.000000,63.000000,-539.690000
1.000000,64.000000,-539.480000
1.000000,65.000000,-539.270000
1.000000,66.000000,-539.060000
1.000000,67.000000,-538.860000
1.000000,68.000000,-538.650000
1.000000,69.000000,-538.460000
1.000000,70.000000,-538.260000
1.000000,71.000000,-538.070000
1.000000,72.000000,-537.880000
1.000000,73.000000,-537.690000
1.000000,74.000000,-537.500000
1.000000,75.000000,-537.310000
1.000000,76.000000,-537.130000
1.000000,77.000000,-536.950000
1.000000,78.000000,-536.760000
1.000000,79.000000,-536.580000
1.000000,80.000000,-536.400000
1.000000,81.000000,-536.220000
1.000000,82.000000,-536.040000
1.000000,83.000000,-535.870000
1.000000,84.000000,-535.690000
1.000000,85.000000,-535.510000
1.000000,86.000000,-535.330000
1.000000,87.000000,-535.160000
