t,x,y
0.000000,40.000000,15.000000
0.001000,39.388636,14.615603
0.002000,38.596876,15.242056
0.003000,38.601421,14.840249
0.004000,38.335594,15.234942
0.005000,38.615175,14.869626
0.006000,38.839719,14.672634
0.007000,39.404677,15.028433
0.008000,39.967492,15.695848
0.009000,39.765820,15.662667
0.010000,39.476296,15.109522
0.011000,39.809489,15.285784
0.012000,39.843653,15.616007
0.013000,39.620742,15.242257
0.014000,40.149638,15.482052
0.015000,40.420414,15.219581
0.016000,39.793917,14.821431
0.017000,39.774570,14.882819
0.018000,39.264725,14.470872
0.019000,39.199630,14.009595
0.020000,39.415551,13.574280
0.021000,39.155505,13.806948
0.022000,39.409248,13.894171
0.023000,39.082726,13.813870
0.024000,39.149168,14.145016
0.025000,39.253793,14.195191
0.026000,38.713484,14.675226
0.027000,38.577543,15.208558
0.028000,38.071632,15.118747
0.029000,38.205535,15.455386
0.030000,38.191378,15.226237
0.031000,38.255660,14.642541
0.032000,38.294783,14.698395
0.033000,38.348200,14.015841
0.034000,38.717908,14.475239
0.035000,38.993240,14.616477
0.036000,38.418688,15.728935
0.037000,39.075458,16.056465
0.038000,39.084529,16.636113
0.039000,38.762640,16.327566
0.040000,38.835656,16.427997
0.041000,38.751182,16.723941
0.042000,38.733535,16.266142
0.043000,38.512870,16.144913
0.044000,38.971867,15.958756
0.045000,38.491179,15.909568
0.046000,38.559843,16.106642
0.047000,38.408938,16.312806
0.048000,38.682429,16.389918
0.049000,38.161184,16.056735
0.050000,37.819284,16.545412
0.051000,37.875655,17.243194
0.052000,38.827993,17.517677
0.053000,38.838269,18.060230
0.054000,38.718873,17.891702
0.055000,38.253635,17.614288
0.056000,37.700067,17.683027
0.057000,38.519232,16.938941
0.058000,37.663775,16.807016
0.059000,37.592003,16.411534
0.060000,37.661267,16.381011
0.061000,37.374482,15.913387
0.062000,36.808665,15.951449
0.063000,37.394356,15.904275
0.064000,37.637855,16.850472
0.065000,37.166108,16.653993
0.066000,36.737887,17.646604
0.067000,36.682766,17.678272
0.068000,35.717051,17.732346
0.069000,36.030609,18.080900
0.070000,36.385572,17.703408
0.071000,36.630911,16.935429
0.072000,36.755362,16.607360
0.073000,36.775687,16.394754
0.074000,37.050668,16.164946
0.075000,37.277665,16.337372
0.076000,37.389066,15.691010
0.077000,37.477598,15.803772
0.078000,37.729055,15.901258
0.079000,37.495490,16.145690
0.080000,37.351888,16.559918
0.081000,37.602734,16.010757
0.082000,38.057824,15.587077
0.083000,38.146944,15.618349
0.084000,37.829133,15.900704
0.085000,38.075249,15.482201
0.086000,37.905310,14.606517
0.087000,38.171643,15.061896
0.088000,38.454319,15.188841
0.089000,37.501763,14.977785
0.090000,36.853184,15.464178
0.091000,36.175862,15.555896
0.092000,36.277649,15.570904
0.093000,36.159914,15.020092
0.094000,36.499144,15.151303
0.095000,36.147454,15.639831
0.096000,36.133615,16.271291
0.097000,36.506958,15.880725
0.098000,36.196626,15.924981
0.099000,36.092846,16.260407
0.100000,35.961274,15.902950
